author;title;date;lang_TALD;lang_world;branch_TALD;branch_world;url;from_TALD;from_Glottolog;from_Scholar;from_rsl
Abacharaeva M.M.;Язык песенного фольклора лакцев;2013;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01006746121;0;0;0;1
Abakarov I.M.;Фонологический слух при контактировании трех разносистемных языков: экспериментально-фонетическое исследование на материале даргинского, русского и французского языков;1992;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01008023503;0;0;0;1
Abakarova F.O.;Русско-кубачинский разговорник;2002;Kubachi;Dargwa;Dargwic;Dargwic;;0;1;0;0
Abakarova M.A.;"Репрезентация лингвокультурных концептов ""мужчина"" и ""женщина"" в английской и лакской языковых картинах мира";2017;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01009700722;0;0;0;1
Abakarova N.M.;Средства выражения побудительной модальности в лакском языке;2009;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01004372224;0;0;0;1
Abashilova A.M.;Лексико-грамматические средства выражения семантики пространства в аварском языке в сопоставлении с английским;2002;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002324953;0;0;0;1
Abdulaev A.K.;Категория падежа в дидойском (цезском) языке;2011;Tsez;Tsez;Tsezic;Tsezic;https://search.rsl.ru/ru/record/01005376703;0;0;0;1
Abdulaev A.K. and Khalilov M.Sh.;Диалектологический словарь цезского (дидойского) языка;2023;Tsez;Tsez;Tsezic;Tsezic;https://search.rsl.ru/ru/record/01012300483;1;0;1;1
Abdulaeva I.A.;Ратлубский говор ахвахского языка: Фонетика и морфология;2001;Southern Akhvakh;Akhvakh;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002281513;1;1;0;1
Abdulaeva I.A. and Magomedova P.T.;Ахвахско-русский словарь;2007;Northern Akhvakh;Akhvakh;Avar-Andic;Avar-Andic;;1;0;0;0
Abdulaeva Z.A.;Фонетические и морфологические особенности амушинского говора аварского языка;2013;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01006555239;1;0;0;1
Abdulazimova T.Kh.;Лексические синонимы чеченского языка (структура, семантика, функции);2012;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01006520524;0;0;0;1
Abdulkadyrov A.T.;Нохчийн меттан лексикин-семантикин тезаурус;2018;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01009628815;0;0;0;1
Abdulkadyrov A.T.;Нохчийн меттан синонимийн парадигмийн дошам;2018;Chechen;Chechen;Nakh;Nakh;https://search.rsl.ru/ru/record/01009639387;0;0;0;1
Abdulkadyrova P.M.;Компаративные фразеологические единицы даргинского языка в сопоставлении с английским языком: на материале хайдакского диалекта;2010;Kajtak;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01004721172;0;0;0;1
Abdulkarimova P.A.;Фразеологические и паремиологические единицы эмотивной семантики с компонентом-зоонимом в аварском и английском языках;2012;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01005509799;0;0;0;1
Abdulkhalimova R.O.;Развитие и становление аварской терминологии;2002;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01002326331;0;0;0;1
Abdulkhalimova R.O.;Развитие и становление терминологии аварского литературного языка;2014;Avar;Avar;Avar-Andic;Avar-Andic;https://search.rsl.ru/ru/record/01007921689;0;0;0;1
Abdullaev E.;Lakku mazral orfografijalul slovar': slovar'danuvu bussar 50-azarunnichan bivssa machru;2005;Lak;Lak;Lak;Lak;;0;1;0;0
Abdullaev I.Kh.;Категория грамматических классов и вопросы исторической морфологии лакского языка;1974;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01007212626;0;0;0;1
Abdullaev I.Kh.;Морфология лакского языка в историко-сравнительном освещении;1990;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01008042251;0;0;0;1
Abdullaev I.Kh.;Лакский язык в историко-сравнительном освещении;2007;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01005426344;1;0;0;1
Abdullaev I.Kh.;Лакку мазрал махъа-хьхьичӀунмайсса словарь;2014;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01007590470;0;0;0;1
Abdullaev I.Kh.;Лакско-русский словарь;2018;Lak;Lak;Lak;Lak;;1;0;0;0
Abdullaev I.Kh.;Этимологический словарь и исследования по этимологии и ономастике лакского языка;2024;Lak;Lak;Lak;Lak;https://search.rsl.ru/ru/record/01013734529;0;0;0;1
Abdullaev S.N.;Русско-даргинский словарь;1950;Northern Dargwa;Dargwa;Dargwic;Dargwic;;1;0;0;0
Abdullaev S.N.;Грамматика даргинского языка: (фонетика и морфология);1954;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01011813054;1;1;0;1
Abdullaev S.N.;Русско-даргинский словарь: словарь содержит около 33 тысяч слов;2023;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01012297199;0;0;0;1
Abdullaev Z.G.;Категория падежа в даргинском языке;1961;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01005931960;0;1;0;1
Abdullaev Z.G.;Субъектно-объектные и предикативные категории в дергинском языке: к проблеме предложения;1969;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01009712339;0;1;0;1
Abdullaev Z.G.;Очерки по синтаксису даргинского языка;1971;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01007212618;0;1;0;1
Abdullaev Z.G.;Проблемы эргативности даргинского языка: Аспекты типологического исследования;1986;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01001315402;0;1;0;1
Abdullaev Z.G.;Dargan mezla orfografijala slovar': orfografijala k'kajdurtacil barch;1989;Northern Dargwa;Dargwa;Dargwic;Dargwic;;0;1;0;0
Abdullaev Z.G.;Даргинский язык;1993;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01007976478;0;1;0;1
Abdullaev Z.G.;Даргинско-русский словарь: 12 000 слов, терминов и выражений;2017;Northern Dargwa;Dargwa;Dargwic;Dargwic;https://search.rsl.ru/ru/record/01009576062;0;0;0;1
