"lang","census","pub","branch","Unnamed: 4","log_census","log_pub","first_mention"
"Aghul","10753","123","Lezgic","","4.031529645803423","2.089905111439398","1895"
"Amuzgi-Shiri","1750","7","Dargwic","","3.2430380486862944","0.8450980400142568","2019"
"Archi","1116","76","Lezgic","","3.04766419460156","1.8808135922807914","1918"
"Avar","384945","442","Avar-Andic","","5.585398683007659","2.645422269349092","1814"
"Bagvalal","4564","57","Avar-Andic","","3.659345635746177","1.7558748556724915","1928"
"Bezhta","4549","86","Tsezic","","3.657915936829955","1.9344984512435677","1959"
"Botlikh","12618","50","Avar-Andic","","4.100990523069965","1.6989700043360187","1909"
"Budukh","200","40","Lezgic","","2.3010299956639813","1.6020599913279623","1928"
"Chamalal","5265","50","Avar-Andic","","3.721398375521505","1.6989700043360187","1909"
"Chechen","1300000","251","Nakh","","6.113943352306837","2.399673721481038","1814"
"Chirag","2100","14","Dargwic","","3.322219294733919","1.146128035678238","1985"
"Gigatli","1349","5","Avar-Andic","","3.1300119496719043","0.6989700043360189","1949"
"Godoberi","3211","55","Avar-Andic","","3.5066403055665023","1.7403626894942439","1909"
"Hapshima","2320","6","Dargwic","","3.3654879848909","0.7781512503836436","1965"
"Hinuq","543","62","Tsezic","","2.734799829588847","1.792391689498254","1959"
"Hunzib","934","39","Tsezic","","2.9703468762300935","1.591064607026499","1956"
"Ingush","293000","138","Nakh","","5.466867620354109","2.1398790864012365","1905"
"Kajtak","25082","18","Dargwic","","4.3993621635116655","1.255272505103306","1965"
"Karata","11000","55","Avar-Andic","","4.041392685158225","1.7403626894942439","1909"
"Khinalug","2200","31","Khinalug","","3.342422680822206","1.4913616938342726","1928"
"Khwarshi","1890","59","Tsezic","","3.2764618041732443","1.7708520116421442","1909"
"Kryz","4400","43","Lezgic","","3.6434526764861874","1.6334684555795864","1962"
"Kubachi","6354","18","Dargwic","","3.803047210491129","1.255272505103306","1928"
"Lak","140000","147","Lak","","5.146128035678238","2.167317334748176","1890"
"Lezgian","204433","253","Lezgic","","5.310551001839939","2.403120521175818","1814"
"L. Andi","4798","25","Avar-Andic","","3.6810602436318116","1.3979400086720377","1965"
"Mehweb","1300","26","Dargwic","","3.113943352306837","1.414973347970818","1965"
"Muira","34740","10","Dargwic","","4.540829814111079","1.0","1965"
"N. Akhvakh","3693","63","Avar-Andic","","3.5673793076509788","1.7993405494535817","1909"
"N. Dargwa","133000","221","Dargwic","","5.123851640967086","2.3443922736851106","1892"
"Rutul","11631","96","Lezgic","","4.0656170557268725","1.9822712330395684","1928"
"Sanaqari-Chahrizhi","900","0","Dargwic","","2.9542425094393248","0.0","2021"
"Sanzhi-Itsari","1750","33","Dargwic","","3.2430380486862944","1.5185139398778875","1966"
"Shari","1200","1","Dargwic","","3.0791812460476247","0.0","2016"
"S. Akhvakh","1330","31","Avar-Andic","","3.123851640967086","1.4913616938342726","1962"
"SW. Dargwa","13989","36","Dargwic","","4.145786670174155","1.5563025007672873","1965"
"Tabasaran","59395","159","Lezgic","","4.773749886667951","2.2013971243204513","1965"
"Tindi","8986","37","Avar-Andic","","3.9535664142570064","1.568201724066995","1909"
"Tsakhur","5457","85","Lezgic","","3.736953953783146","1.9294189257142926","1913"
"Tsez","10930","88","Tsezic","","4.038620161949702","1.9444826721501687","1909"
"Tsova-Tush","500","53","Nakh","","2.6989700043360187","1.724275869600789","1856"
"Tsudaqar","33000","13","Dargwic","","4.518513939877887","1.1139433523068367","1965"
"Tukita","1300","12","Avar-Andic","","3.113943352306837","1.0791812460476249","1985"
"Udi","4900","115","Lezgic","","3.690196080028514","2.060697840353612","1863"
"Up. Andi","23700","109","Avar-Andic","","4.3747483460101035","2.037426497940624","1906"
"Usisha-Butri","8150","7","Dargwic","","3.9111576087399764","0.8450980400142568","1965"
